IO No.,Type,Customer,Due Date,IO date,A-ES,ATD,Supplier Invoice,ATA LG,ATA PU,ATA,AS Received,QC LG,QC PU,QC Receive,QC Stock,QC AS,QC REQ,QC,TRA,Price,Invoice Date,Stock For Sale,PO Receive date,App,IO Type,ATD,PO Due Date,Province,IO Ready
1036-22,I,"Siam Kraft Industry Co., Ltd ( Wang-Sala )",27/5/2022,31/1/2022,,18/2/2022,,,,,,,,,,,,,19/4/2022,"127,000",19/4/2022,,31/01/2022,UL,A-S,18/2/2022,27/5/2022,กาญจนบุรี,31/01/2022
1037-22,I,Thai Plastic and Chemicals Public Company Limited ( Rayong ),30/5/2022,31/1/2022,,4/3/2022,,,,,,,,2/2/2022,2/2/2022,,,2/2/2022,18/3/2022,"31,953",18/3/2022,S-S,27/01/2022,UL,S-S,4/3/2022,30/05/2022,ระยอง,31/01/2022
1038-22,I,"CHAO KHUN AGRO PRODUCTS CO., LTD.",15/6/2022,31/1/2022,,10/6/2022,,,,,,,,,,,,,23/6/2022,"135,000",23/6/2022,,31/01/2022,UL,A-S,10/6/2022,20/05/2022,สระบุรี,31/01/2022
1039-22,I,"CHAO KHUN AGRO PRODUCTS CO., LTD.",15/2/2022,1/2/2022,,,,,,,,,,2/2/2022,2/2/2022,,,2/2/2022,9/2/2022,"10,000",9/2/2022,S-S,01/02/2022,UL,S-S,,15/02/2022,สระบุรี,
1040-22,I,"Siam Kraft Industry Co., Ltd ( Wang-Sala )",1/6/2022,1/2/2022,,8/4/2022,,,,,,,,,,,,,26/5/2022,"60,000",26/5/2022,,01/02/2022,UL,A-S,8/4/2022,01/06/2022,กาญจนบุรี,02/02/2022
1041-22,I,Double A (1991) Public Company Limited,18/3/2022,2/2/2022,,25/2/2022,,,,,,,,,,,,,15/3/2022,"107,500",15/3/2022,,02/02/2022,NP,A-S,25/2/2022,24/02/2022,ปราจีนบุรี,
1042-22,I,"Siam Kraft Industry Co., Ltd ( Wang-Sala )",1/6/2022,2/2/2022,,18/4/2022,,,,,,,,,,,,,5/5/2022,"28,500",5/5/2022,,02/02/2022,UL,A-S,18/4/2022,01/06/2022,กาญจนบุรี,03/02/2022
1043-22,Q,Thai Plastic and Chemicals Public Company Limited ( Rayong ),6/5/2022,2/2/2022,,4/7/2022,,,,,,,,,,,,,10/5/2022,"100,700",10/5/2022,,02/02/2022,NP,A-S,4/7/2022,06/05/2022,ระยอง,
1044-22,I,"AGC Chemicals (Thailand) Co., Ltd.",7/6/2022,3/2/2022,,,,,,,,,,,,,,,7/6/2022,"267,000",7/6/2022,,02/02/2022,MO,L-S,,15/02/2022,สมุทรปราการ,03/02/2022
1045-22,I,Patum Vegetable Oil Company Limited,25/4/2022,4/2/2022,,26/3/2022,,,,,,,,,,,,,21/4/2022,"8,000",21/4/2022,,04/02/2022,NP,A-S,26/3/2022,25/02/2022,ปทุมธานี,
1046-22,I,POSCO - Thainox Public Company Limited,16/9/2022,4/2/2022,,7/5/2022,,,,,,,,,,,,,1/7/2022,"416,640",1/7/2022,,02/02/2022,MO,A-S,7/5/2022,25/05/2022,ระยอง,04/02/2022
1047-22,I,"Thai Polyethylene Co., Ltd.",10/3/2022,4/2/2022,,8/2/2022,,,,,,,,,,,,,24/2/2022,"57,000",24/2/2022,,01/02/2022,MO,A-S,8/2/2022,10/03/2022,ระยอง,
1048-22,A,Thai Containers Group Company Limited ( Prachinburi ),18/5/2022,4/2/2022,,20/4/2022,,,,,,,,,,,,,2/6/2022,"486,000",2/6/2022,,04/02/2022,UL,A-S,20/4/2022,18/05/2022,ปราจีนบุรี,08/02/2022
1049-22,A,บริษัท ไทยเบฟเวอเรจ เอ็นเนอร์ยี่ จำกัด สาขาที่ 00001,8/4/2022,7/2/2022,,24/2/2022,,,,,,,,,,,,,7/4/2022,"195,000",7/4/2022,,07/02/2022,MO,A-S,24/2/2022,08/04/2022,บุรีรัมย์,
1050-22,A,บริษัท ไทยเบฟเวอเรจ เอ็นเนอร์ยี่ จำกัด สาขาที่ 00002,8/4/2022,7/2/2022,,24/2/2022,,,,,,,,,,,,,7/4/2022,"195,000",7/4/2022,,07/02/2022,MO,A-S,24/2/2022,8/4/2022,อุบลราชธานี,
1051-22,I,Thai Plastic and Chemicals Public Company Limited ( Rayong ),7/6/2022,7/2/2022,,16/6/2022,,,,,,,,,,,,,8/7/2022,"24,737",8/7/2022,,07/02/2022,UL,A-S,16/6/2022,07/06/2022,ระยอง,
1052-22,I,"Bangchak Bioethanol Co,. Ltd",28/2/2022,8/2/2022,,,,,,,,,,23/2/2022,23/2/2022,,,23/2/2022,25/2/2022,"44,000",25/2/2022,S-S,08/02/2022,NP,S-S,,28/02/2022,ฉะเชิงเทรา,
1053-22,I,Birla Carbon (Thailand) Public Company Limited,6/4/2022,9/2/2022,,24/2/2022,,,,,,,,,,,,,6/4/2022,"94,000",6/4/2022,,09/02/2022,MO,A-S,24/2/2022,06/04/2022,อ่างทอง,
1054-22,A,"Siam Kraft Industry Co., Ltd ( Ban Pong )",8/5/2022,10/2/2022,,24/2/2022,,,,,,,,,,,,,31/3/2022,"260,000",31/3/2022,,09/02/2022,MO,A-S,24/2/2022,08/05/2022,ราชบุรี,
1055-22,I,"Vinythai Public Co.,Ltd",7/6/2022,10/2/2022,,1/6/2022,,,,,,,,,,,,,15/6/2022,"164,550",15/6/2022,,10/02/2022,UL,A-S,1/6/2022,07/06/2022,,10/02/2022
1056-22,I,"E85 Co.,Ltd.",31/3/2022,11/2/2022,,,,,,,,,,14/2/2022,14/2/2022,,,14/2/2022,9/3/2022,"4,000",9/3/2022,S-S,11/02/2022,UL,S-S,,31/03/2022,ปราจีนบุรี,
1057-22,I,Double A (1991) Public Company Limited,23/3/2022,11/2/2022,,,,,,,,,,7/3/2022,7/3/2022,,,7/3/2022,9/3/2022,"28,975",9/3/2022,,11/02/2022,NP,L-S,,11/03/2022,ปราจีนบุรี,
1058-22,I,Thai Plastic and Chemicals Public Company Limited ( Rayong ),30/6/2022,11/2/2022,,14/6/2022,,,,,,,,,,,,,27/6/2022,"359,100",27/6/2022,,11/02/2022,UL,A-S,14/6/2022,16/05/2022,ระยอง,14/02/2022
1059-22,I,Thai Plastic and Chemicals Public Company Limited ( Rayong ),31/7/2022,11/2/2022,,16/6/2022,,,,,,,,,,,,,8/7/2022,"68,785",8/7/2022,,11/02/2022,UL,A-S,16/6/2022,01/06/2022,ระยอง,14/02/2022
1060-22,I,Thai Plastic and Chemicals Public Company Limited ( Rayong ),18/3/2022,11/2/2022,,,,,,,,,,8/4/2022,8/4/2022,,,8/4/2022,24/2/2022,"17,500",24/2/2022,S-S,11/02/2022,NP,S-S,,28/2/2022,ระยอง,22/02/2022
1061-22,I,"Metro M.D.F. Co.,Ltd.",11/7/2022,14/2/2022,,,,,,,,,,,,,,,1/7/2022,"150,000",1/7/2022,,10/02/2022,MO,L-S,,11/07/2022,กาญจนบุรี,
1062-22,I,"QTEC Technology Co., Ltd.",18/3/2022,14/2/2022,,16/2/2022,,,,,,,,,,,,,22/2/2022,"75,400",22/2/2022,,11/02/2022,MO,A-S,16/2/2022,18/3/2022,นนทบุรี,
1063-22,I,"Ingredion (Thailand) Co., Ltd.",29/4/2022,15/2/2022,,,,,,,,,,6/4/2022,6/4/2022,,,6/4/2022,20/4/2022,"58,000",20/4/2022,S-S,,NP,S-S,,29/04/2022,กาฬสินธุ์,
1064-22,I,Double A (1991) Public Company Limited,29/4/2022,15/2/2022,,,,,,,,,,22/2/2022,22/2/2022,,,22/2/2022,25/2/2022,"71,800",25/2/2022,S-S,15/02/2022,NP,S-S,,29/04/2022,ปราจีนบุรี,
